date,open,high,low,close,volume,adjusted,symbol,return
1957-08-30,45.220001,45.220001,45.220001,45.220001,1600000,45.220001,sp500,0.0170940624627545
1957-09-03,45.439999,45.439999,45.439999,45.439999,1490000,45.439999,sp500,0.00486505960050732
1957-09-04,45.049999,45.049999,45.049999,45.049999,1260000,45.049999,sp500,-0.00858274666775416
1957-09-05,44.82,44.82,44.82,44.82,1420000,44.82,sp500,-0.00510541631754535
1957-09-06,44.68,44.68,44.68,44.68,1320000,44.68,sp500,-0.00312360553324409
1957-09-09,44.279999,44.279999,44.279999,44.279999,1420000,44.279999,sp500,-0.00895257385854975
1957-09-10,43.869999,43.869999,43.869999,43.869999,1870000,43.869999,sp500,-0.00925925946836625
1957-09-11,44.259998,44.259998,44.259998,44.259998,2130000,44.259998,sp500,0.00888987939115293
1957-09-12,44.82,44.82,44.82,44.82,2010000,44.82,sp500,0.0126525536670832
1957-09-13,44.799999,44.799999,44.799999,44.799999,1620000,44.799999,sp500,-0.000446251673360099
1957-09-16,44.580002,44.580002,44.580002,44.580002,1290000,44.580002,sp500,-0.00491064743104119
1957-09-17,44.639999,44.639999,44.639999,44.639999,1490000,44.639999,sp500,0.00134582766505931
1957-09-18,44.689999,44.689999,44.689999,44.689999,1540000,44.689999,sp500,0.00112007170967887
1957-09-19,44.400002,44.400002,44.400002,44.400002,1520000,44.400002,sp500,-0.00648908047637231
1957-09-20,43.689999,43.689999,43.689999,43.689999,2340000,43.689999,sp500,-0.0159910578382406
1957-09-23,42.689999,42.689999,42.689999,42.689999,3160000,42.689999,sp500,-0.0228885333689296
1957-09-24,42.98,42.98,42.98,42.98,2840000,42.98,sp500,0.00679318357444791
1957-09-25,42.98,42.98,42.98,42.98,2770000,42.98,sp500,0
1957-09-26,42.57,42.57,42.57,42.57,2130000,42.57,sp500,-0.00953932061423912
1957-09-27,42.549999,42.549999,42.549999,42.549999,1750000,42.549999,sp500,-0.000469837914023996
1957-09-30,42.419998,42.419998,42.419998,42.419998,1520000,42.419998,sp500,-0.00305525271575213
1957-10-01,42.759998,42.759998,42.759998,42.759998,1680000,42.759998,sp500,0.00801508760089997
1957-10-02,43.099998,43.099998,43.099998,43.099998,1760000,43.099998,sp500,0.007951356779764
1957-10-03,43.139999,43.139999,43.139999,43.139999,1590000,43.139999,sp500,0.000928097490862978
1957-10-04,42.790001,42.790001,42.790001,42.790001,1520000,42.790001,sp500,-0.00811307390155491
1957-10-07,42.220001,42.220001,42.220001,42.220001,2490000,42.220001,sp500,-0.0133208690506923
1957-10-08,41.950001,41.950001,41.950001,41.950001,3190000,41.950001,sp500,-0.00639507327344691
1957-10-09,41.990002,41.990002,41.990002,41.990002,2120000,41.990002,sp500,0.000953539905755862
1957-10-10,40.959999,40.959999,40.959999,40.959999,3300000,40.959999,sp500,-0.0245297201938689
1957-10-11,40.939999,40.939999,40.939999,40.939999,4460000,40.939999,sp500,-0.00048828126192102
1957-10-14,41.240002,41.240002,41.240002,41.240002,2770000,41.240002,sp500,0.00732787023272752
1957-10-15,41.669998,41.669998,41.669998,41.669998,2620000,41.669998,sp500,0.0104266726272226
1957-10-16,41.330002,41.330002,41.330002,41.330002,2050000,41.330002,sp500,-0.00815925165151199
1957-10-17,40.650002,40.650002,40.650002,40.650002,3060000,40.650002,sp500,-0.0164529389570317
1957-10-18,40.330002,40.330002,40.330002,40.330002,2670000,40.330002,sp500,-0.00787207833347714
1957-10-21,39.150002,39.150002,39.150002,39.150002,4670000,39.150002,sp500,-0.0292586149636194
1957-10-22,38.98,38.98,38.98,38.98,5090000,38.98,sp500,-0.00434232417152891
1957-10-23,40.73,40.73,40.73,40.73,4600000,40.73,sp500,0.0448948178553104
1957-10-24,40.709999,40.709999,40.709999,40.709999,4030000,40.709999,sp500,-0.000491063098453037
1957-10-25,40.59,40.59,40.59,40.59,2400000,40.59,sp500,-0.00294765421143828
1957-10-28,40.419998,40.419998,40.419998,40.419998,1800000,40.419998,sp500,-0.00418827297363888
1957-10-29,40.689999,40.689999,40.689999,40.689999,1860000,40.689999,sp500,0.00667988652547691
1957-10-30,41.02,41.02,41.02,41.02,2060000,41.02,sp500,0.008110125537236
1957-10-31,41.060001,41.060001,41.060001,41.060001,2170000,41.060001,sp500,0.000975158459288084
1957-11-01,40.439999,40.439999,40.439999,40.439999,2060000,40.439999,sp500,-0.0150999022138358
1957-11-04,40.369999,40.369999,40.369999,40.369999,2380000,40.369999,sp500,-0.00173095948889612
1957-11-06,40.43,40.43,40.43,40.43,2550000,40.43,sp500,0.00148627697513692
1957-11-07,40.669998,40.669998,40.669998,40.669998,2580000,40.669998,sp500,0.00593613653227809
1957-11-08,40.189999,40.189999,40.189999,40.189999,2140000,40.189999,sp500,-0.0118022872782044
1957-11-11,40.18,40.18,40.18,40.18,1540000,40.18,sp500,-0.000248793238337708
1957-11-12,39.599998,39.599998,39.599998,39.599998,2050000,39.599998,sp500,-0.0144350920856148
1957-11-13,39.549999,39.549999,39.549999,39.549999,2120000,39.549999,sp500,-0.00126260107386877
1957-11-14,39.439999,39.439999,39.439999,39.439999,2450000,39.439999,sp500,-0.00278128957727664
1957-11-15,40.369999,40.369999,40.369999,40.369999,3510000,40.369999,sp500,0.0235801223017271
1957-11-18,40.040001,40.040001,40.040001,40.040001,2110000,40.040001,sp500,-0.00817433758172759
1957-11-19,39.810001,39.810001,39.810001,39.810001,2240000,39.810001,sp500,-0.00574425560079273
1957-11-20,39.919998,39.919998,39.919998,39.919998,2400000,39.919998,sp500,0.00276304941564809
1957-11-21,40.48,40.48,40.48,40.48,2900000,40.48,sp500,0.0140281069152357
1957-11-22,40.869999,40.869999,40.869999,40.869999,2850000,40.869999,sp500,0.00963436264822137
1957-11-25,41.18,41.18,41.18,41.18,2600000,41.18,sp500,0.00758505034463064
1957-11-26,40.09,40.09,40.09,40.09,3650000,40.09,sp500,-0.0264691597863039
1957-11-27,41.25,41.25,41.25,41.25,3330000,41.25,sp500,0.0289348964829133
1957-11-29,41.720001,41.720001,41.720001,41.720001,2740000,41.720001,sp500,0.0113939636363638
1957-12-02,41.360001,41.360001,41.360001,41.360001,2430000,41.360001,sp500,-0.00862895473084979
1957-12-03,41.369999,41.369999,41.369999,41.369999,2060000,41.369999,sp500,0.000241731135354639
1957-12-04,41.540001,41.540001,41.540001,41.540001,2220000,41.540001,sp500,0.00410930635990581
1957-12-05,41.52,41.52,41.52,41.52,2020000,41.52,sp500,-0.000481487711085804
1957-12-06,41.310001,41.310001,41.310001,41.310001,2350000,41.310001,sp500,-0.00505777938342977
1957-12-09,40.919998,40.919998,40.919998,40.919998,2230000,40.919998,sp500,-0.00944088575548574
1957-12-10,40.560001,40.560001,40.560001,40.560001,2360000,40.560001,sp500,-0.00879758107515061
1957-12-11,40.509998,40.509998,40.509998,40.509998,2240000,40.509998,sp500,-0.00123281555145915
1957-12-12,40.549999,40.549999,40.549999,40.549999,2330000,40.549999,sp500,0.000987435249935054
1957-12-13,40.73,40.73,40.73,40.73,2310000,40.73,sp500,0.00443898901205886
1957-12-16,40.119999,40.119999,40.119999,40.119999,2350000,40.119999,sp500,-0.0149767002209673
1957-12-17,39.419998,39.419998,39.419998,39.419998,2820000,39.419998,sp500,-0.0174476823890249
1957-12-18,39.380001,39.380001,39.380001,39.380001,2750000,39.380001,sp500,-0.00101463729145801
1957-12-19,39.799999,39.799999,39.799999,39.799999,2740000,39.799999,sp500,0.010665261283259
1957-12-20,39.48,39.48,39.48,39.48,2500000,39.48,sp500,-0.0080401760814115
1957-12-23,39.48,39.48,39.48,39.48,2790000,39.48,sp500,0
1957-12-24,39.52,39.52,39.52,39.52,2220000,39.52,sp500,0.00101317122593736
